collector_number,name,types,domain,description,alt_text,paraphrase,implementation_status,issues_or_mismatches,rbexp_refs
SFD-203/221,"Sivir, Battle Mistress",legend,"body, chaos","When you recycle a rune, you may exhaust me to play a Gold gear token exhausted.
When one or more enemy units die, ready me.","Riftbound Legend: Battle Mistress. When you recycle a rune, you may exhaust me to play a Gold gear token exhausted.
When one or more enemy units die, ready me.","When you recycle a rune, Optional: exhaust me to play a Gold gear token exhausted. When one or more enemy units die, ready me.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you recycle a rune,problems.json
OGN-263/298,"Teemo, Swift Scout",legend,"mind, chaos","You may pay [1] to hide a card with [Hidden] instead of [C].
[1], [T]: Put a Teemo unit you own into your hand from your Champion Zone or the board.","Riftbound Legend: Swift Scout. You may pay [1] to hide a card with [Hidden] instead of [C].
[1], [T]: Put a Teemo unit you own into your hand from your Champion Zone or the board.","Optional: pay [1] to hide a card with [Hidden] instead of [C]. [1], [T]: Put a Teemo unit you own into your hand from your Champion Zone or the board.",UNSUPPORTED,Flags: REPLACEMENT_EFFECT,problems.json
OGN-308/298,"Viktor, Herald of the Arcane",legend,"mind, order","[1], [T]: Play a 1 [S] Recruit unit token.","Riftbound Legend: Herald of the Arcane. [1], [T]: Play a 1 [S] Recruit unit token.","[1], [T]: Play a 1 [S] Recruit unit token.",UNKNOWN,,
OGN-300*/298,"Volibear, Relentless Storm",legend,"fury, body","When you play a [Mighty] unit, you may exhaust me to channel 1 rune exhausted. (A unit is Mighty while it has 5+ [S].)","Riftbound Legend: Relentless Storm. When you play a [Mighty] unit, you may exhaust me to channel 1 rune exhausted. (A unit is Mighty while it has 5+ [S].)","When you play a [Mighty] unit, Optional: exhaust me to channel 1 rune exhausted. (A unit is Mighty while it has 5+ [S].)",UNKNOWN,,
OGN-259/298,"Yasuo, Unforgiven",legend,"calm, chaos","[2], [T]: Move a friendly unit to or from its base.","Riftbound Legend: Unforgiven. [2], [T]: Move a friendly unit to or from its base.","[2], [T]: Move a friendly unit to or from its base.",PARTIAL,Heuristic destination when moving a friendly unit to or from base.,Full_Card_Audit.json
OGN-126a/298,Body Rune,rune,body,,Riftbound Rune: Body Rune.,Riftbound Rune: Body Rune.,NO_TEXT,,Full_Card_Audit.json
OGN-042a/298,Calm Rune,rune,calm,,Riftbound Rune: Calm Rune.,Riftbound Rune: Calm Rune.,NO_TEXT,,Full_Card_Audit.json
OGN-166a/298,Chaos Rune,rune,chaos,,Riftbound Rune: Chaos Rune.,Riftbound Rune: Chaos Rune.,NO_TEXT,,Full_Card_Audit.json
OGN-007/298,Fury Rune,rune,fury,,Riftbound Rune: Fury Rune.,Riftbound Rune: Fury Rune.,NO_TEXT,,Full_Card_Audit.json
OGN-089/298,Mind Rune,rune,mind,,Riftbound Rune: Mind Rune.,Riftbound Rune: Mind Rune.,NO_TEXT,,Full_Card_Audit.json
OGN-214/298,Order Rune,rune,order,,Riftbound Rune: Order Rune.,Riftbound Rune: Order Rune.,NO_TEXT,,Full_Card_Audit.json
OGN-179/298,Acceptable Losses,spell,chaos,"[Action] (Play on your turn or in showdowns.)
Each player kills one of their gear.","Riftbound Spell: Acceptable Losses. [Action] (Play on your turn or in showdowns.)
Each player kills one of their gear.",[Action] (Play on your turn or in showdowns.) Each player kills one of their gear.,FULL,,Full_Card_Audit.json
SFD-001/221,Against the Odds,spell,fury,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
Give a friendly unit at a battlefield +2 [S] this turn for each enemy unit there.","Riftbound Spell: Against the Odds. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit at a battlefield +2 [S] this turn for each enemy unit there.","[Reaction] (Play any time, even before spells and abilities resolve.) Give a friendly unit at a battlefield +2 [S] this turn for each enemy unit there.",PARTIAL,Flags: SCALING_EFFECT,problems.json
SFD-011/221,Angle Shot,spell,fury,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
Choose a unit and an Equipment with the same controller. Attach that Equipment to that unit or detach that Equipment from that unit. Draw 1.","Riftbound Spell: Angle Shot. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose a unit and an Equipment with the same controller. Attach that Equipment to that unit or detach that Equipment from that unit. Draw 1.","[Reaction] (Play any time, even before spells and abilities resolve.) Choose a unit and an Equipment with the same controller. Attach that Equipment to that unit or detach that Equipment from that unit. Draw 1.",UNKNOWN,,
SFD-200/221,Arcane Shift,spell,"mind, chaos","[Action]  (Play on your turn or in showdowns.) 
Banish a friendly unit, then its owner plays it, ignoring its cost. Deal 3 to an enemy unit at a battlefield. Banish this.","Riftbound Spell: Arcane Shift. [Action] (Play on your turn or in showdowns.)
Banish a friendly unit, then its owner plays it, ignoring its cost. Deal 3 to an enemy unit at a battlefield. Banish this.","[Action] (Play on your turn or in showdowns.) Banish a friendly unit, then its owner plays it, ignoring its cost. Deal 3 to an enemy unit at a battlefield. Banish this.",UNKNOWN,,
SFD-198/221,Arise!,spell,"calm, order",Play a 2 [S] Sand Soldier unit token for each Equipment you control. Then ready two of them.,Riftbound Spell: Arise!. Play a 2 [S] Sand Soldier unit token for each Equipment you control. Then ready two of them.,Play a 2 [S] Sand Soldier unit token for each Equipment you control. Then ready two of them.,PARTIAL,Flags: SCALING_EFFECT,problems.json
OGN-206/298,Back to Back,spell,order,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give two friendly units each +2 [S] this turn.","Riftbound Spell: Back to Back. [Reaction] (Play any time, even before spells and abilities resolve.)
Give two friendly units each +2 [S] this turn.","[Reaction] (Play any time, even before spells and abilities resolve.) Give two friendly units each +2 [S] this turn.",UNSUPPORTED,Missing primitives: GRANT_KEYWORD_MULTI,problems.json
SFD-080/221,Bellows Breath,spell,mind,"[Action]  (Play on your turn or in showdowns.) 
[Repeat] \[1]\[C]  (You may pay the additional cost to repeat this spell's effect.) 
Deal 1 to up to three units at the same location.","Riftbound Spell: Bellows Breath. [Action] (Play on your turn or in showdowns.)
[Repeat] [1][C] (You may pay the additional cost to repeat this spell's effect.)
Deal 1 to up to three units at the same location.",[Action] (Play on your turn or in showdowns.) [Repeat] \[1]\[C] (Optional: pay the additional cost to repeat this spell's effect.) Deal 1 to up to three units at the same location.,UNKNOWN,,
OGS-012/024,Blast of Power,spell,order,"[Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield.","Riftbound Spell: Blast of Power. [Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield.",[Action] (Play on your turn or in showdowns.) Kill a unit at a battlefield.,FULL,,Full_Card_Audit.json
OGN-025/298,Blind Fury,spell,fury,"[Action] (Play on your turn or in showdowns.)
Each opponent reveals the top card of their Main Deck. Choose one and play it, ignoring its cost. Then recycle the rest.","Riftbound Spell: Blind Fury. [Action] (Play on your turn or in showdowns.)
Each opponent reveals the top card of their Main Deck. Choose one and play it, ignoring its cost. Then recycle the rest.","[Action] (Play on your turn or in showdowns.) Each opponent reveals the top card of their Main Deck. Choose one and play it, ignoring its cost. Then recycle the rest.",FULL,,Full_Card_Audit.json
OGN-057/298,Block,spell,calm,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Give a unit [Shield 3] and [Tank] this turn. (+3 [S] while it's a defender. It must be assigned combat damage first.)","Riftbound Spell: Block. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Give a unit [Shield 3] and [Tank] this turn. (+3 [S] while it's a defender. It must be assigned combat damage first.)",[Hidden] (Hide now for [A] to react with later for [0].) [Action] (Play on your turn or in showdowns.) Give a unit [Shield 3] and [Tank] this turn. (+3 [S] while it's a defender. It must be assigned combat damage first.),FULL,,Full_Card_Audit.json
SFD-162/221,Blood Money,spell,order,"[Action]  (Play on your turn or in showdowns.) 
Kill a unit at a battlefield with 2 [S] or less. If it was an enemy unit, play a Gold gear token exhausted. If it was a friendly unit, play two Gold gear tokens exhausted.","Riftbound Spell: Blood Money. [Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield with 2 [S] or less. If it was an enemy unit, play a Gold gear token exhausted. If it was a friendly unit, play two Gold gear tokens exhausted.","[Action] (Play on your turn or in showdowns.) Kill a unit at a battlefield with 2 [S] or less. If it was an enemy unit, play a Gold gear token exhausted. If it was a friendly unit, play two Gold gear tokens exhausted.",PARTIAL,Flags: CONDITIONAL_GENERAL,problems.json
SFD-003/221,Blood Rush,spell,fury,"[Action]  (Play on your turn or in showdowns.) [Repeat] [1]  (You may pay the additional cost to repeat this spell's effect.) 
Give a unit [Assault 2].  (+2 [S] while it's an attacker.)","Riftbound Spell: Blood Rush. [Action] (Play on your turn or in showdowns.)
[Repeat] [1] (You may pay the additional cost to repeat this spell's effect.)
Give a unit [Assault 2]. (+2 [S] while it's an attacker.)",[Action] (Play on your turn or in showdowns.) [Repeat] [1] (Optional: pay the additional cost to repeat this spell's effect.) Give a unit [Assault 2]. (+2 [S] while it's an attacker.),UNKNOWN,,
SFD-151/221,Bonds of Strength,spell,order,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.) 
Give two friendly units each +1 [S] this turn.","Riftbound Spell: Bonds of Strength. [Reaction] (Play any time, even before spells and abilities resolve.)
[Repeat] [2] (You may pay the additional cost to repeat this spell's effect.)
Give two friendly units each +1 [S] this turn.","[Reaction] (Play any time, even before spells and abilities resolve.) [Repeat] [2] (Optional: pay the additional cost to repeat this spell's effect.) Give two friendly units each +1 [S] this turn.",UNSUPPORTED,Missing primitives: GRANT_KEYWORD_MULTI,problems.json
OGN-268/298,Bullet Time,spell,"body, chaos","[Action] (Play on your turn or in showdowns.)
Pay any amount of [C] to deal that much damage to all enemy units at a battlefield.","Riftbound Spell: Bullet Time. [Action] (Play on your turn or in showdowns.)
Pay any amount of [C] to deal that much damage to all enemy units at a battlefield.",[Action] (Play on your turn or in showdowns.) Pay any amount of [C] to deal that much damage to all enemy units at a battlefield.,FULL,,Full_Card_Audit.json
SFD-004/221,Bushwhack,spell,fury,"[Hidden]  (Hide now for [A] to react with later for [0].) 
Friendly units enter ready this turn. Play a Gold gear token exhausted.","Riftbound Spell: Bushwhack. [Hidden] (Hide now for [A] to react with later for [0].)
Friendly units enter ready this turn. Play a Gold gear token exhausted.",[Hidden] (Hide now for [A] to react with later for [0].) Friendly units enter ready this turn. Play a Gold gear token exhausted.,UNKNOWN,,
OGN-207/298,Call to Glory,spell,order,"[Reaction] (Play any time, even before spells and abilities resolve.)
As you play this, you may spend a buff as an additional cost.
Give a unit +3 [S] this turn.","Riftbound Spell: Call to Glory. [Reaction] (Play any time, even before spells and abilities resolve.)
As you play this, you may spend a buff as an additional cost.
Give a unit +3 [S] this turn.","[Reaction] (Play any time, even before spells and abilities resolve.) As you play this, Optional: spend a buff as an additional cost. Give a unit +3 [S] this turn.",PARTIAL,"Flags: CONDITIONAL_GENERAL, IF_YOU_DO_BRANCH, ADDITIONAL_COST, KEYWORD_UNSUPPORTED: Reaction",Full_Card_Audit.json
SFD-122/221,Called Shot,spell,chaos,"[Action]  (Play on your turn or in showdowns.) 
[Repeat] [C]  (You may pay the additional cost to repeat this spell's effect.) 
Look at the top 2 cards of your Main Deck. Draw one and recycle the other.","Riftbound Spell: Called Shot. [Action] (Play on your turn or in showdowns.)
[Repeat] [C] (You may pay the additional cost to repeat this spell's effect.)
Look at the top 2 cards of your Main Deck. Draw one and recycle the other.",[Action] (Play on your turn or in showdowns.) [Repeat] [C] (Optional: pay the additional cost to repeat this spell's effect.) Look at the top 2 cards of your Main Deck. Draw one and recycle the other.,UNKNOWN,,
OGN-127/298,Cannon Barrage,spell,body,"[Reaction] (Play any time, even before spells and abilities resolve.)
Deal 2 to all enemy units in combat.","Riftbound Spell: Cannon Barrage. [Reaction] (Play any time, even before spells and abilities resolve.)
Deal 2 to all enemy units in combat.","[Reaction] (Play any time, even before spells and abilities resolve.) Deal 2 to all enemy units in combat.",UNSUPPORTED,Missing primitives: DAMAGE_AOE_ENEMY; Flags: KEYWORD_UNSUPPORTED: Reaction,Full_Card_Audit.json
OGN-138/298,Catalyst of Aeons,spell,body,"Channel 2 runes exhausted. If you couldn't channel 2 runes this way, draw 1.","Riftbound Spell: Catalyst of Aeons. Channel 2 runes exhausted. If you couldn't channel 2 runes this way, draw 1.","Channel 2 runes exhausted. If you couldn't channel 2 runes this way, draw 1.",PARTIAL,Flags: CONDITIONAL_GENERAL,Full_Card_Audit.json
OGN-128/298,Challenge,spell,body,"[Action] (Play on your turn or in showdowns.)
Choose a friendly unit and an enemy unit. They deal damage equal to their Mights to each other.","Riftbound Spell: Challenge. [Action] (Play on your turn or in showdowns.)
Choose a friendly unit and an enemy unit. They deal damage equal to their Mights to each other.",[Action] (Play on your turn or in showdowns.) Choose a friendly unit and an enemy unit. They deal damage equal to their Mights to each other.,FULL,,Full_Card_Audit.json
OGN-043/298,Charm,spell,calm,Move an enemy unit.,Riftbound Spell: Charm. Move an enemy unit.,Move an enemy unit.,PARTIAL,Heuristic move destination (defaults moved enemy to base).,Full_Card_Audit.json
OGN-004/298,Cleave,spell,fury,"[Action] (Play on your turn or in showdowns.)
Give a unit [Assault 3] this turn. (+3 [S] while it's an attacker.)","Riftbound Spell: Cleave. [Action] (Play on your turn or in showdowns.)
Give a unit [Assault 3] this turn. (+3 [S] while it's an attacker.)",[Action] (Play on your turn or in showdowns.) Give a unit [Assault 3] this turn. (+3 [S] while it's an attacker.),FULL,,Full_Card_Audit.json
OGN-129/298,Confront,spell,body,"[Action] (Play on your turn or in showdowns.)
Units you play this turn enter ready. Draw 1.","Riftbound Spell: Confront. [Action] (Play on your turn or in showdowns.)
Units you play this turn enter ready. Draw 1.",[Action] (Play on your turn or in showdowns.) Units you play this turn enter ready. Draw 1.,FULL,,Full_Card_Audit.json
OGN-083/298,Consult the Past,spell,mind,"[Hidden] (Hide now for [A] to react with later for [0].)
[Reaction] (Play any time, even before spells and abilities resolve.)
Draw 2.","Riftbound Spell: Consult the Past. [Hidden] (Hide now for [A] to react with later for [0].)
[Reaction] (Play any time, even before spells and abilities resolve.)
Draw 2.","[Hidden] (Hide now for [A] to react with later for [0].) [Reaction] (Play any time, even before spells and abilities resolve.) Draw 2.",PARTIAL,Flags: KEYWORD_UNSUPPORTED: Reaction,Full_Card_Audit.json
OGN-108/298,Convergent Mutation,spell,mind,"[Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. If its Might is less than another friendly unit's, its Might becomes the Might of that friendly unit this turn.","Riftbound Spell: Convergent Mutation. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. If its Might is less than another friendly unit's, its Might becomes the Might of that friendly unit this turn.","[Reaction] (Play any time, even before spells and abilities resolve.) Choose a friendly unit. If its Might is less than another friendly unit's, its Might becomes the Might of that friendly unit this turn.",PARTIAL,Conditional copy-Might branch is implemented in resolver; deterministic scenario verification pending.,problems.json
SFD-194/221,Counter Strike,spell,"calm, body","[Reaction]  (Play any time, even before spells and abilities resolve.) 
Choose a unit. The next time that unit would be dealt damage this turn, prevent it. Draw 1.","Riftbound Spell: Counter Strike. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose a unit. The next time that unit would be dealt damage this turn, prevent it. Draw 1.","[Reaction] (Play any time, even before spells and abilities resolve.) Choose a unit. The next time that unit would be dealt damage this turn, prevent it. Draw 1.",FULL,,problems.json
OGN-209/298,Cull the Weak,spell,order,Each player kills one of their units.,Riftbound Spell: Cull the Weak. Each player kills one of their units.,Each player kills one of their units.,FULL,,Full_Card_Audit.json
SFD-182/221,Danger Zone,spell,"fury, mind","[Reaction]  (Play any time, even before spells and abilities resolve.) 
[Repeat] \[1]\[C]  (You may pay the additional cost to repeat this spell's effect.) 
Give your Mechs +1 [S] this turn.","Riftbound Spell: Danger Zone. [Reaction] (Play any time, even before spells and abilities resolve.)
[Repeat] [1][C] (You may pay the additional cost to repeat this spell's effect.)
Give your Mechs +1 [S] this turn.","[Reaction] (Play any time, even before spells and abilities resolve.) [Repeat] \[1]\[C] (Optional: pay the additional cost to repeat this spell's effect.) Give your Mechs +1 [S] this turn.",UNKNOWN,,
SFD-163/221,Deathgrip,spell,order,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
Kill a friendly unit to give +[S] equal to its Might to another friendly unit this turn. Draw 1.","Riftbound Spell: Deathgrip. [Reaction] (Play any time, even before spells and abilities resolve.)
Kill a friendly unit to give +[S] equal to its Might to another friendly unit this turn. Draw 1.","[Reaction] (Play any time, even before spells and abilities resolve.) Kill a friendly unit to give +[S] equal to its Might to another friendly unit this turn. Draw 1.",UNKNOWN,,
OGS-024/024,Decisive Strike,spell,"body, order","[Action] (Play on your turn or in showdowns.)
Give friendly units +2 [S] this turn.","Riftbound Spell: Decisive Strike. [Action] (Play on your turn or in showdowns.)
Give friendly units +2 [S] this turn.",[Action] (Play on your turn or in showdowns.) Give friendly units +2 [S] this turn.,UNSUPPORTED,Missing primitives: GRANT_KEYWORD_MULTI,problems.json
SFD-196/221,Defiant Dance,spell,"calm, chaos","[Reaction]  (Play any time, even before spells and abilities resolve.) 
Give a unit +2 [S] this turn and another unit -2 [S] this turn.","Riftbound Spell: Defiant Dance. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 [S] this turn and another unit -2 [S] this turn.","[Reaction] (Play any time, even before spells and abilities resolve.) Give a unit +2 [S] this turn and another unit -2 [S] this turn.",UNKNOWN,,
OGN-045/298,Defy,spell,calm,"[Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell that costs no more than [4] and no more than [A].","Riftbound Spell: Defy. [Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell that costs no more than [4] and no more than [A].","[Reaction] (Play any time, even before spells and abilities resolve.) Counter a spell that costs no more than [4] and no more than [A].",UNSUPPORTED,Flags: KEYWORD_UNSUPPORTED: Reaction,Full_Card_Audit.json
SFD-031/221,Desert's Call,spell,calm,[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.)  Play a 2 [S] Sand Soldier unit token.,Riftbound Spell: Desert's Call. [Repeat] [2] (You may pay the additional cost to repeat this spell's effect.) Play a 2 [S] Sand Soldier unit token.,[Repeat] [2] (Optional: pay the additional cost to repeat this spell's effect.) Play a 2 [S] Sand Soldier unit token.,UNKNOWN,,
SFD-005/221,Detonate,spell,fury,Kill a gear. Its controller draws 2.,Riftbound Spell: Detonate. Kill a gear. Its controller draws 2.,Kill a gear. Its controller draws 2.,UNKNOWN,,
OGN-058/298,Discipline,spell,calm,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 [S] this turn. Draw 1.","Riftbound Spell: Discipline. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 [S] this turn. Draw 1.","[Reaction] (Play any time, even before spells and abilities resolve.) Give a unit +2 [S] this turn. Draw 1.",PARTIAL,Flags: KEYWORD_UNSUPPORTED: Reaction,Full_Card_Audit.json
OGN-005/298,Disintegrate,spell,fury,"[Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield. If this kills it, draw 1.","Riftbound Spell: Disintegrate. [Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield. If this kills it, draw 1.","[Action] (Play on your turn or in showdowns.) Deal 3 to a unit at a battlefield. If this kills it, draw 1.",FULL,,Full_Card_Audit.json
OGN-244/298,Divine Judgment,spell,order,"Each player chooses 2 units, 2 gear, 2 runes, and 2 cards in their hands. Recycle the rest.","Riftbound Spell: Divine Judgment. Each player chooses 2 units, 2 gear, 2 runes, and 2 cards in their hands. Recycle the rest.","Each player chooses 2 units, 2 gear, 2 runes, and 2 cards in their hands. Recycle the rest.",FULL,,Full_Card_Audit.json
SFD-147/221,Downwell,spell,chaos,Return all units and gear to their owners' hands.,Riftbound Spell: Downwell. Return all units and gear to their owners' hands.,Return all units and gear to their owners' hands.,UNKNOWN,,
SFD-164/221,Drag Under,spell,order,"[Action]  (Play on your turn or in showdowns.) 
I cost [2] less to play from anywhere other than your hand.
Kill a unit at a battlefield.","Riftbound Spell: Drag Under. [Action] (Play on your turn or in showdowns.)
I cost [2] less to play from anywhere other than your hand.
Kill a unit at a battlefield.",[Action] (Play on your turn or in showdowns.) I cost [2] less to play from anywhere other than your hand. Kill a unit at a battlefield.,UNKNOWN,,
OGN-258/298,Dragon's Rage,spell,"calm, body",Move an enemy unit. Then choose another enemy unit at its destination. They deal damage equal to their Mights to each other.,Riftbound Spell: Dragon's Rage. Move an enemy unit. Then choose another enemy unit at its destination. They deal damage equal to their Mights to each other.,Move an enemy unit. Then choose another enemy unit at its destination. They deal damage equal to their Mights to each other.,PARTIAL,Heuristic second-target selection at destination when not explicitly chosen.,Full_Card_Audit.json
SFD-043/221,Emperor's Divide,spell,calm,[Hidden]  (Hide now for [A] to react with later for [0].)  [Action]  (Play on your turn or in showdowns.)  Move any number of friendly units at a battlefield to their base.,Riftbound Spell: Emperor's Divide. [Hidden] (Hide now for [A] to react with later for [0].) [Action] (Play on your turn or in showdowns.) Move any number of friendly units at a battlefield to their base.,[Hidden] (Hide now for [A] to react with later for [0].) [Action] (Play on your turn or in showdowns.) Move any number of friendly units at a battlefield to their base.,UNKNOWN,,
OGN-046/298,En Garde,spell,calm,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit +1 [S] this turn, then an additional +1 [S] this turn if it is the only unit you control there.","Riftbound Spell: En Garde. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit +1 [S] this turn, then an additional +1 [S] this turn if it is the only unit you control there.","[Reaction] (Play any time, even before spells and abilities resolve.) Give a friendly unit +1 [S] this turn, then an additional +1 [S] this turn if it is the only unit you control there.",PARTIAL,"Flags: CONDITIONAL_GENERAL, KEYWORD_UNSUPPORTED: Reaction",Full_Card_Audit.json
OGN-220/298,Facebreaker,spell,order,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Stun a friendly unit and an enemy unit at the same battlefield. (They don't deal combat damage this turn.)","Riftbound Spell: Facebreaker. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Stun a friendly unit and an enemy unit at the same battlefield. (They don't deal combat damage this turn.)",[Hidden] (Hide now for [A] to react with later for [0].) [Action] (Play on your turn or in showdowns.) Stun a friendly unit and an enemy unit at the same battlefield. (They don't deal combat damage this turn.),FULL,,Full_Card_Audit.json
SFD-135/221,Factory Recall,spell,chaos,"[Action]  (Play on your turn or in showdowns.) 
Return a gear to its owner's hand.","Riftbound Spell: Factory Recall. [Action] (Play on your turn or in showdowns.)
Return a gear to its owner's hand.",[Action] (Play on your turn or in showdowns.) Return a gear to its owner's hand.,UNKNOWN,,
OGN-180/298,Fading Memories,spell,chaos,"Give a unit at a battlefield or a gear [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)","Riftbound Spell: Fading Memories. Give a unit at a battlefield or a gear [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)","Give a unit at a battlefield or a gear [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)",UNSUPPORTED,Flags: KEYWORD_UNSUPPORTED: Temporary,Full_Card_Audit.json
OGN-085/298,Falling Comet,spell,mind,"[Action] (Play on your turn or in showdowns.)
Deal 6 to a unit at a battlefield.","Riftbound Spell: Falling Comet. [Action] (Play on your turn or in showdowns.)
Deal 6 to a unit at a battlefield.",[Action] (Play on your turn or in showdowns.) Deal 6 to a unit at a battlefield.,FULL,,Full_Card_Audit.json
OGN-029/298,Falling Star,spell,fury,"Do this twice:
Deal 3 to a unit. (You can choose different units.)","Riftbound Spell: Falling Star. Do this twice:
Deal 3 to a unit. (You can choose different units.)",Do this twice: Deal 3 to a unit. (You can choose different units.),FULL,,Full_Card_Audit.json
SFD-034/221,Feral Strength,spell,calm,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.) 
Give a unit +2 [S] this turn.","Riftbound Spell: Feral Strength. [Reaction] (Play any time, even before spells and abilities resolve.)
[Repeat] [2] (You may pay the additional cost to repeat this spell's effect.)
Give a unit +2 [S] this turn.","[Reaction] (Play any time, even before spells and abilities resolve.) [Repeat] [2] (Optional: pay the additional cost to repeat this spell's effect.) Give a unit +2 [S] this turn.",UNKNOWN,,
OGN-168/298,Fight or Flight,spell,chaos,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Move a unit from a battlefield to its base.","Riftbound Spell: Fight or Flight. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Move a unit from a battlefield to its base.",[Hidden] (Hide now for [A] to react with later for [0].) [Action] (Play on your turn or in showdowns.) Move a unit from a battlefield to its base.,FULL,,Full_Card_Audit.json
OGS-022/024,Final Spark,spell,"mind, order","[Action] (Play on your turn or in showdowns.)
Deal 8 to a unit.","Riftbound Spell: Final Spark. [Action] (Play on your turn or in showdowns.)
Deal 8 to a unit.",[Action] (Play on your turn or in showdowns.) Deal 8 to a unit.,FULL,,Full_Card_Audit.json
OGN-047/298,Find Your Center,spell,calm,"[Action] (Play on your turn or in showdowns.)
If an opponent's score is within 3 points of the Victory Score, this costs [2] less.
Draw 1 and channel 1 rune exhausted.","Riftbound Spell: Find Your Center. [Action] (Play on your turn or in showdowns.)
If an opponent's score is within 3 points of the Victory Score, this costs [2] less.
Draw 1 and channel 1 rune exhausted.","[Action] (Play on your turn or in showdowns.) If an opponent's score is within 3 points of the Victory Score, this costs [2] less. Draw 1 and channel 1 rune exhausted.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: If an opponent's score is within 3 points of the Victory Score,Full_Card_Audit.json
OGS-002/024,Firestorm,spell,fury,Deal 3 to all enemy units at a battlefield.,Riftbound Spell: Firestorm. Deal 3 to all enemy units at a battlefield.,Deal 3 to all enemy units at a battlefield.,UNSUPPORTED,Missing primitives: DAMAGE_AOE_ENEMY,Full_Card_Audit.json
OGS-011/024,Flash,spell,chaos,"[Reaction] (Play any time, even before spells and abilities resolve.)
Move up to 2 friendly units to base.","Riftbound Spell: Flash. [Reaction] (Play any time, even before spells and abilities resolve.)
Move up to 2 friendly units to base.","[Reaction] (Play any time, even before spells and abilities resolve.) Move up to 2 friendly units to base.",PARTIAL,Flags:  KEYWORD_UNSUPPORTED: Reaction,Full_Card_Audit.json
OGN-133/298,Flurry of Blades,spell,body,"[Reaction] (Play any time, even before spells and abilities resolve.)
Deal 1 to all units at battlefields.","Riftbound Spell: Flurry of Blades. [Reaction] (Play any time, even before spells and abilities resolve.)
Deal 1 to all units at battlefields.","[Reaction] (Play any time, even before spells and abilities resolve.) Deal 1 to all units at battlefields.",PARTIAL,Flags: KEYWORD_UNSUPPORTED: Reaction,Full_Card_Audit.json
OGN-256/298,Fox-Fire,spell,"calm, mind","[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Kill any number of units at a battlefield with total Might 4 or less.","Riftbound Spell: Fox-Fire. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Kill any number of units at a battlefield with total Might 4 or less.",[Hidden] (Hide now for [A] to react with later for [0].) [Action] (Play on your turn or in showdowns.) Kill any number of units at a battlefield with total Might 4 or less.,FULL,,Full_Card_Audit.json
