Name,Collector Number,Card Link,Rarity,Domain 1,Domain 2,types,Subtype 1,Subtype 2,Subtype 3,Subtype 4,Subtype 5,supertypes,cmc,Energy,Power,Total Cost,Might,Description,ALT TEXT,Tags
Arcane Shift,SFD-200/221,https://riftdecks.com/cards/details-arcane-shift,epic,mind,chaos,spell,ezreal,,,,,signature,3,3,C,3C,,"[Action]  (Play on your turn or in showdowns.) 
Banish a friendly unit, then its owner plays it, ignoring its cost. Deal 3 to an enemy unit at a battlefield. Banish this.","Riftbound Spell: Arcane Shift. [Action] (Play on your turn or in showdowns.)
Banish a friendly unit, then its owner plays it, ignoring its cost. Deal 3 to an enemy unit at a battlefield. Banish this.",
Arise!,SFD-198/221,https://riftdecks.com/cards/details-arise,epic,calm,order,spell,azir,,,,,signature,6,6,C,6C,,Play a 2 [S] Sand Soldier unit token for each Equipment you control. Then ready two of them.,Riftbound Spell: Arise!. Play a 2 [S] Sand Soldier unit token for each Equipment you control. Then ready two of them.,
Back to Back,OGN-206/298,https://riftdecks.com/cards/details-back-to-back,common,order,,spell,,,,,,,3,3,,3,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give two friendly units each +2 [S] this turn.","Riftbound Spell: Back to Back. [Reaction] (Play any time, even before spells and abilities resolve.)
Give two friendly units each +2 [S] this turn.",
Bellows Breath,SFD-080/221,https://riftdecks.com/cards/details-bellows-breath,rare,mind,,spell,,,,,,,1,1,C,1C,,"[Action]  (Play on your turn or in showdowns.) 
[Repeat] \[1]\[C]  (You may pay the additional cost to repeat this spell's effect.) 
Deal 1 to up to three units at the same location.","Riftbound Spell: Bellows Breath. [Action] (Play on your turn or in showdowns.)
[Repeat] [1][C] (You may pay the additional cost to repeat this spell's effect.)
Deal 1 to up to three units at the same location.",
Blast of Power,OGS-012/024,https://riftdecks.com/cards/details-blast-of-power,common,order,,spell,,,,,,,6,6,C,6C,,"[Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield.","Riftbound Spell: Blast of Power. [Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield.",
Blind Fury,OGN-025/298,https://riftdecks.com/cards/details-blind-fury,rare,fury,,spell,,,,,,,4,4,CC,4CC,,"[Action] (Play on your turn or in showdowns.)
Each opponent reveals the top card of their Main Deck. Choose one and play it, ignoring its cost. Then recycle the rest.","Riftbound Spell: Blind Fury. [Action] (Play on your turn or in showdowns.)
Each opponent reveals the top card of their Main Deck. Choose one and play it, ignoring its cost. Then recycle the rest.",
Block,OGN-057/298,https://riftdecks.com/cards/details-block,uncommon,calm,,spell,,,,,,,2,2,,2,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Give a unit [Shield 3] and [Tank] this turn. (+3 [S] while it's a defender. It must be assigned combat damage first.)","Riftbound Spell: Block. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Give a unit [Shield 3] and [Tank] this turn. (+3 [S] while it's a defender. It must be assigned combat damage first.)",
Blood Money,SFD-162/221,https://riftdecks.com/cards/details-blood-money,uncommon,order,,spell,,,,,,,2,2,,2,,"[Action]  (Play on your turn or in showdowns.) 
Kill a unit at a battlefield with 2 [S] or less. If it was an enemy unit, play a Gold gear token exhausted. If it was a friendly unit, play two Gold gear tokens exhausted.","Riftbound Spell: Blood Money. [Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield with 2 [S] or less. If it was an enemy unit, play a Gold gear token exhausted. If it was a friendly unit, play two Gold gear tokens exhausted.",
Blood Rush,SFD-003/221,https://riftdecks.com/cards/details-blood-rush,common,fury,,spell,,,,,,,1,1,,1,,"[Action]  (Play on your turn or in showdowns.) [Repeat] [1]  (You may pay the additional cost to repeat this spell's effect.) 
Give a unit [Assault 2].  (+2 [S] while it's an attacker.) ","Riftbound Spell: Blood Rush. [Action] (Play on your turn or in showdowns.)
[Repeat] [1] (You may pay the additional cost to repeat this spell's effect.)
Give a unit [Assault 2]. (+2 [S] while it's an attacker.)",
Bonds of Strength,SFD-151/221,https://riftdecks.com/cards/details-bonds-of-strength,common,order,,spell,,,,,,,2,2,,2,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.) 
Give two friendly units each +1 [S] this turn.","Riftbound Spell: Bonds of Strength. [Reaction] (Play any time, even before spells and abilities resolve.)
[Repeat] [2] (You may pay the additional cost to repeat this spell's effect.)
Give two friendly units each +1 [S] this turn.",
Bullet Time,OGN-268/298,https://riftdecks.com/cards/details-bullet-time,epic,body,chaos,spell,missfortune,,,,,signature,1,1,,1,,"[Action] (Play on your turn or in showdowns.)
Pay any amount of [C] to deal that much damage to all enemy units at a battlefield.","Riftbound Spell: Bullet Time. [Action] (Play on your turn or in showdowns.)
Pay any amount of [C] to deal that much damage to all enemy units at a battlefield.",
Bushwhack,SFD-004/221,https://riftdecks.com/cards/details-bushwhack,common,fury,,spell,,,,,,,2,2,C,2C,,"[Hidden]  (Hide now for [A] to react with later for [0].) 
Friendly units enter ready this turn. Play a Gold gear token exhausted.","Riftbound Spell: Bushwhack. [Hidden] (Hide now for [A] to react with later for [0].)
Friendly units enter ready this turn. Play a Gold gear token exhausted.",
Call to Glory,OGN-207/298,https://riftdecks.com/cards/details-call-to-glory,common,order,,spell,,,,,,,3,3,,3,,"[Reaction] (Play any time, even before spells and abilities resolve.)
As you play this, you may spend a buff as an additional cost.
Give a unit +3 [S] this turn.","Riftbound Spell: Call to Glory. [Reaction] (Play any time, even before spells and abilities resolve.)
As you play this, you may spend a buff as an additional cost.
Give a unit +3 [S] this turn.",
Called Shot,SFD-122/221,https://riftdecks.com/cards/details-called-shot,common,chaos,,spell,,,,,,,,,C,0C,,"[Action]  (Play on your turn or in showdowns.) 
[Repeat] [C]  (You may pay the additional cost to repeat this spell's effect.) 
Look at the top 2 cards of your Main Deck. Draw one and recycle the other.","Riftbound Spell: Called Shot. [Action] (Play on your turn or in showdowns.)
[Repeat] [C] (You may pay the additional cost to repeat this spell's effect.)
Look at the top 2 cards of your Main Deck. Draw one and recycle the other.",
Cannon Barrage,OGN-127/298,https://riftdecks.com/cards/details-cannon-barrage,common,body,,spell,,,,,,,2,2,C,2C,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Deal 2 to all enemy units in combat.","Riftbound Spell: Cannon Barrage. [Reaction] (Play any time, even before spells and abilities resolve.)
Deal 2 to all enemy units in combat.",
Catalyst of Aeons,OGN-138/298,https://riftdecks.com/cards/details-catalyst-of-aeons,uncommon,body,,spell,,,,,,,4,4,,4,,"Channel 2 runes exhausted. If you couldn't channel 2 runes this way, draw 1.","Riftbound Spell: Catalyst of Aeons. Channel 2 runes exhausted. If you couldn't channel 2 runes this way, draw 1.",
Challenge,OGN-128/298,https://riftdecks.com/cards/details-challenge,common,body,,spell,,,,,,,2,2,C,2C,,"[Action] (Play on your turn or in showdowns.)
Choose a friendly unit and an enemy unit. They deal damage equal to their Mights to each other.","Riftbound Spell: Challenge. [Action] (Play on your turn or in showdowns.)
Choose a friendly unit and an enemy unit. They deal damage equal to their Mights to each other.",
Charm,OGN-043/298,https://riftdecks.com/cards/details-charm,common,calm,,spell,,,,,,,1,1,C,1C,,Move an enemy unit.,Riftbound Spell: Charm. Move an enemy unit.,
Cleave,OGN-004/298,https://riftdecks.com/cards/details-cleave,common,fury,,spell,,,,,,,1,1,,1,,"[Action] (Play on your turn or in showdowns.)
Give a unit [Assault 3] this turn. (+3 [S] while it's an attacker.)","Riftbound Spell: Cleave. [Action] (Play on your turn or in showdowns.)
Give a unit [Assault 3] this turn. (+3 [S] while it's an attacker.)",
Confront,OGN-129/298,https://riftdecks.com/cards/details-confront,common,body,,spell,,,,,,,2,2,,2,,"[Action] (Play on your turn or in showdowns.)
Units you play this turn enter ready. Draw 1.","Riftbound Spell: Confront. [Action] (Play on your turn or in showdowns.)
Units you play this turn enter ready. Draw 1.",
Consult the Past,OGN-083/298,https://riftdecks.com/cards/details-consult-the-past,common,mind,,spell,,,,,,,4,4,,4,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Reaction] (Play any time, even before spells and abilities resolve.)
Draw 2.","Riftbound Spell: Consult the Past. [Hidden] (Hide now for [A] to react with later for [0].)
[Reaction] (Play any time, even before spells and abilities resolve.)
Draw 2.",
Convergent Mutation,OGN-108/298,https://riftdecks.com/cards/details-convergent-mutation,rare,mind,,spell,,,,,,,2,2,C,2C,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. If its Might is less than another friendly unit's, its Might becomes the Might of that friendly unit this turn.","Riftbound Spell: Convergent Mutation. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. If its Might is less than another friendly unit's, its Might becomes the Might of that friendly unit this turn.",
Counter Strike,SFD-194/221,https://riftdecks.com/cards/details-counter-strike,epic,calm,body,spell,jax,,,,,signature,2,2,C,2C,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
Choose a unit. The next time that unit would be dealt damage this turn, prevent it. Draw 1.","Riftbound Spell: Counter Strike. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose a unit. The next time that unit would be dealt damage this turn, prevent it. Draw 1.",
Cull the Weak,OGN-209/298,https://riftdecks.com/cards/details-cull-the-weak,common,order,,spell,,,,,,,2,2,C,2C,,Each player kills one of their units.,Riftbound Spell: Cull the Weak. Each player kills one of their units.,
Danger Zone,SFD-182/221,https://riftdecks.com/cards/details-danger-zone,epic,fury,mind,spell,rumble,,,,,signature,1,1,C,1C,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
[Repeat] \[1]\[C]  (You may pay the additional cost to repeat this spell's effect.) 
Give your Mechs +1 [S] this turn.","Riftbound Spell: Danger Zone. [Reaction] (Play any time, even before spells and abilities resolve.)
[Repeat] [1][C] (You may pay the additional cost to repeat this spell's effect.)
Give your Mechs +1 [S] this turn.",
Deathgrip,SFD-163/221,https://riftdecks.com/cards/details-deathgrip,uncommon,order,,spell,,,,,,,2,2,,2,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
Kill a friendly unit to give +[S] equal to its Might to another friendly unit this turn. Draw 1.","Riftbound Spell: Deathgrip. [Reaction] (Play any time, even before spells and abilities resolve.)
Kill a friendly unit to give +[S] equal to its Might to another friendly unit this turn. Draw 1.",
Decisive Strike,OGS-024/024,https://riftdecks.com/cards/details-decisive-strike,epic,body,order,spell,garen,,,,,signature,5,5,C,5C,,"[Action] (Play on your turn or in showdowns.)
Give friendly units +2 [S] this turn.","Riftbound Spell: Decisive Strike. [Action] (Play on your turn or in showdowns.)
Give friendly units +2 [S] this turn.",
Defiant Dance,SFD-196/221,https://riftdecks.com/cards/details-defiant-dance,epic,calm,chaos,spell,irelia,,,,,signature,1,1,C,1C,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
Give a unit +2 [S] this turn and another unit -2 [S] this turn.","Riftbound Spell: Defiant Dance. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 [S] this turn and another unit -2 [S] this turn.",
Defy,OGN-045/298,https://riftdecks.com/cards/details-defy,common,calm,,spell,,,,,,,1,1,C,1C,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell that costs no more than [4] and no more than [A].","Riftbound Spell: Defy. [Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell that costs no more than [4] and no more than [A].",
Desert's Call,SFD-031/221,https://riftdecks.com/cards/details-deserts-call,common,calm,,spell,,,,,,,2,2,,2,,[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.)  Play a 2 [S] Sand Soldier unit token.,Riftbound Spell: Desert's Call. [Repeat] [2] (You may pay the additional cost to repeat this spell's effect.) Play a 2 [S] Sand Soldier unit token.,
Detonate,SFD-005/221,https://riftdecks.com/cards/details-detonate,common,fury,,spell,,,,,,,1,1,C,1C,,Kill a gear. Its controller draws 2.,Riftbound Spell: Detonate. Kill a gear. Its controller draws 2.,
Discipline,OGN-058/298,https://riftdecks.com/cards/details-discipline,uncommon,calm,,spell,,,,,,,2,2,,2,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 [S] this turn. Draw 1.","Riftbound Spell: Discipline. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 [S] this turn. Draw 1.",
Disintegrate,OGN-005/298,https://riftdecks.com/cards/details-disintegrate,common,fury,,spell,,,,,,,4,4,,4,,"[Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield. If this kills it, draw 1.","Riftbound Spell: Disintegrate. [Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield. If this kills it, draw 1.",
Divine Judgment,OGN-244/298,https://riftdecks.com/cards/details-divine-judgment,epic,order,,spell,,,,,,,7,7,CC,7CC,,"Each player chooses 2 units, 2 gear, 2 runes, and 2 cards in their hands. Recycle the rest.","Riftbound Spell: Divine Judgment. Each player chooses 2 units, 2 gear, 2 runes, and 2 cards in their hands. Recycle the rest.",
Downwell,SFD-147/221,https://riftdecks.com/cards/details-downwell,epic,chaos,,spell,,,,,,,8,8,CC,8CC,,Return all units and gear to their owners' hands.,Riftbound Spell: Downwell. Return all units and gear to their owners' hands.,
Drag Under,SFD-164/221,https://riftdecks.com/cards/details-drag-under,uncommon,order,,spell,,,,,,,5,5,C,5C,,"[Action]  (Play on your turn or in showdowns.) 
I cost [2] less to play from anywhere other than your hand.
Kill a unit at a battlefield.","Riftbound Spell: Drag Under. [Action] (Play on your turn or in showdowns.)
I cost [2] less to play from anywhere other than your hand.
Kill a unit at a battlefield.",
Dragon's Rage,OGN-258/298,https://riftdecks.com/cards/details-dragons-rage,epic,calm,body,spell,leesin,,,,,signature,4,4,C,4C,,Move an enemy unit. Then choose another enemy unit at its destination. They deal damage equal to their Mights to each other.,Riftbound Spell: Dragon's Rage. Move an enemy unit. Then choose another enemy unit at its destination. They deal damage equal to their Mights to each other.,
Emperor's Divide,SFD-043/221,https://riftdecks.com/cards/details-emperors-divide,uncommon,calm,,spell,,,,,,,2,2,,2,,[Hidden]  (Hide now for [A] to react with later for [0].)  [Action]  (Play on your turn or in showdowns.)  Move any number of friendly units at a battlefield to their base.,Riftbound Spell: Emperor's Divide. [Hidden] (Hide now for [A] to react with later for [0].) [Action] (Play on your turn or in showdowns.) Move any number of friendly units at a battlefield to their base.,
En Garde,OGN-046/298,https://riftdecks.com/cards/details-en-garde,common,calm,,spell,,,,,,,1,1,,1,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit +1 [S] this turn, then an additional +1 [S] this turn if it is the only unit you control there.","Riftbound Spell: En Garde. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit +1 [S] this turn, then an additional +1 [S] this turn if it is the only unit you control there.",
Facebreaker,OGN-220/298,https://riftdecks.com/cards/details-facebreaker,uncommon,order,,spell,,,,,,,2,2,,2,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Stun a friendly unit and an enemy unit at the same battlefield. (They don't deal combat damage this turn.)","Riftbound Spell: Facebreaker. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Stun a friendly unit and an enemy unit at the same battlefield. (They don't deal combat damage this turn.)",
Factory Recall,SFD-135/221,https://riftdecks.com/cards/details-factory-recall,uncommon,chaos,,spell,,,,,,,1,1,,1,,"[Action]  (Play on your turn or in showdowns.) 
Return a gear to its owner's hand.","Riftbound Spell: Factory Recall. [Action] (Play on your turn or in showdowns.)
Return a gear to its owner's hand.",
Fading Memories,OGN-180/298,https://riftdecks.com/cards/details-fading-memories,uncommon,chaos,,spell,,,,,,,4,4,C,4C,,"Give a unit at a battlefield or a gear [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)","Riftbound Spell: Fading Memories. Give a unit at a battlefield or a gear [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)",
Falling Comet,OGN-085/298,https://riftdecks.com/cards/details-falling-comet,common,mind,,spell,,,,,,,5,5,,5,,"[Action] (Play on your turn or in showdowns.)
Deal 6 to a unit at a battlefield.","Riftbound Spell: Falling Comet. [Action] (Play on your turn or in showdowns.)
Deal 6 to a unit at a battlefield.",
Falling Star,OGN-029/298,https://riftdecks.com/cards/details-falling-star,rare,fury,,spell,,,,,,,2,2,CC,2CC,,"Do this twice:
Deal 3 to a unit. (You can choose different units.)","Riftbound Spell: Falling Star. Do this twice:
Deal 3 to a unit. (You can choose different units.)",
Feral Strength,SFD-034/221,https://riftdecks.com/cards/details-feral-strength,common,calm,,spell,,,,,,,2,2,,2,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.) 
Give a unit +2 [S] this turn.","Riftbound Spell: Feral Strength. [Reaction] (Play any time, even before spells and abilities resolve.)
[Repeat] [2] (You may pay the additional cost to repeat this spell's effect.)
Give a unit +2 [S] this turn.",
Fight or Flight,OGN-168/298,https://riftdecks.com/cards/details-fight-or-flight,common,chaos,,spell,,,,,,,2,2,,2,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Move a unit from a battlefield to its base.","Riftbound Spell: Fight or Flight. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Move a unit from a battlefield to its base.",
Final Spark,OGS-022/024,https://riftdecks.com/cards/details-final-spark,epic,mind,order,spell,lux,,,,,signature,8,8,,8,,"[Action] (Play on your turn or in showdowns.)
Deal 8 to a unit.","Riftbound Spell: Final Spark. [Action] (Play on your turn or in showdowns.)
Deal 8 to a unit.",
Find Your Center,OGN-047/298,https://riftdecks.com/cards/details-find-your-center,common,calm,,spell,,,,,,,3,3,,3,,"[Action] (Play on your turn or in showdowns.)
If an opponent's score is within 3 points of the Victory Score, this costs [2] less.
Draw 1 and channel 1 rune exhausted.","Riftbound Spell: Find Your Center. [Action] (Play on your turn or in showdowns.)
If an opponent's score is within 3 points of the Victory Score, this costs [2] less.
Draw 1 and channel 1 rune exhausted.",
Firestorm,OGS-002/024,https://riftdecks.com/cards/details-firestorm,uncommon,fury,,spell,,,,,,,6,6,C,6C,,Deal 3 to all enemy units at a battlefield.,Riftbound Spell: Firestorm. Deal 3 to all enemy units at a battlefield.,
Flash,OGS-011/024,https://riftdecks.com/cards/details-flash,common,chaos,,spell,,,,,,,2,2,,2,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Move up to 2 friendly units to base.","Riftbound Spell: Flash. [Reaction] (Play any time, even before spells and abilities resolve.)
Move up to 2 friendly units to base.",
Flurry of Blades,OGN-133/298,https://riftdecks.com/cards/details-flurry-of-blades,common,body,,spell,,,,,,,1,1,,1,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Deal 1 to all units at battlefields.","Riftbound Spell: Flurry of Blades. [Reaction] (Play any time, even before spells and abilities resolve.)
Deal 1 to all units at battlefields.",
Fox-Fire,OGN-256/298,https://riftdecks.com/cards/details-fox-fire,epic,calm,mind,spell,ahri,,,,,signature,3,3,,3,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Kill any number of units at a battlefield with total Might 4 or less.","Riftbound Spell: Fox-Fire. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Kill any number of units at a battlefield with total Might 4 or less.",
Frigid Touch,SFD-066/221,https://riftdecks.com/cards/details-frigid-touch,common,mind,,spell,,,,,,,2,2,,2,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.) 
Give a unit -2 [S] this turn.","Riftbound Spell: Frigid Touch. [Reaction] (Play any time, even before spells and abilities resolve.)
[Repeat] [2] (You may pay the additional cost to repeat this spell's effect.)
Give a unit -2 [S] this turn.",
Gentlemen's Duel,OGS-008/024,https://riftdecks.com/cards/details-gentlemens-duel,common,body,,spell,,,,,,,6,6,C,6C,,"[Action] (Play on your turn or in showdowns.)
Give a friendly unit +3 [S] this turn. Then choose an enemy unit. They deal damage equal to their Mights to each other.","Riftbound Spell: Gentlemen's Duel. [Action] (Play on your turn or in showdowns.)
Give a friendly unit +3 [S] this turn. Then choose an enemy unit. They deal damage equal to their Mights to each other.",
Get Excited!,OGN-008/298,https://riftdecks.com/cards/details-get-excited,common,fury,,spell,,,,,,,2,2,C,2C,,"[Action] (Play on your turn or in showdowns.)
Discard 1. Deal its Energy cost.)","Riftbound Spell: Get Excited!. [Action] (Play on your turn or in showdowns.)
Discard 1. Deal its Energy cost.)",
Grand Strategem,OGN-233/298,https://riftdecks.com/cards/details-grand-strategem,rare,order,,spell,,,,,,,6,6,CCC,6CCC,,"[Action] (Play on your turn or in showdowns.)
Give friendly units +5 [S] this turn.","Riftbound Spell: Grand Strategem. [Action] (Play on your turn or in showdowns.)
Give friendly units +5 [S] this turn.",
Guards!,SFD-154/221,https://riftdecks.com/cards/details-guards,common,order,,spell,,,,,,,3,3,,3,,"[Hidden]  (Hide now for [A] to react with later for [0].) 
Play a 2 [S] Sand Soldier unit token. You may pay [C] to ready it.","Riftbound Spell: Guards!. [Hidden] (Hide now for [A] to react with later for [0].)
Play a 2 [S] Sand Soldier unit token. You may pay [C] to ready it.",
Guerilla Warfare,OGN-264/298,https://riftdecks.com/cards/details-guerilla-warfare,epic,mind,chaos,spell,teemo,,,,,signature,2,2,C,2C,,Return up to two cards with [Hidden] from your trash to your hand. You can hide cards ignoring costs this turn.,Riftbound Spell: Guerilla Warfare. Return up to two cards with [Hidden] from your trash to your hand. You can hide cards ignoring,
Gust,OGN-169/298,https://riftdecks.com/cards/details-gust,common,chaos,,spell,,,,,,,1,1,,1,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Return a unit at a battlefield with 3 [S] or less to its owner's hand.","Riftbound Spell: Gust. [Reaction] (Play any time, even before spells and abilities resolve.)
Return a unit at a battlefield with 3 [S] or less to its owner's hand.",
Hard Bargain,SFD-136/221,https://riftdecks.com/cards/details-hard-bargain,uncommon,chaos,,spell,,,,,,,2,2,,2,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.) 
Counter a spell unless its controller pays [2].","Riftbound Spell: Hard Bargain. [Reaction] (Play any time, even before spells and abilities resolve.)
[Repeat] [2] (You may pay the additional cost to repeat this spell's effect.)
Counter a spell unless its controller pays [2].",
Here to Help,SFD-111/221,https://riftdecks.com/cards/details-here-to-help,rare,body,,spell,,,,,,,2,2,C,2C,,"[Hidden]  (Hide now for [A] to react with later for [0].) 
[Action]  (Play on your turn or in showdowns.) 
You may play a unit from hand to a battlefield you control, reducing its cost by [3].","Riftbound Spell: Here to Help. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
You may play a unit from hand to a battlefield you control, reducing its cost by [3].",
Hextech Ray,OGN-009/298,https://riftdecks.com/cards/details-hextech-ray,common,fury,,spell,,,,,,,1,1,C,1C,,"[Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield.","Riftbound Spell: Hextech Ray. [Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield.",
Hidden Blade,OGN-213/298,https://riftdecks.com/cards/details-hidden-blade,common,order,,spell,,,,,,,2,2,C,2C,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield. Its controller draws 2.","Riftbound Spell: Hidden Blade. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield. Its controller draws 2.",
Highlander,OGS-020/024,https://riftdecks.com/cards/details-highlander,epic,calm,body,spell,masteryi,,,,,signature,4,4,,4,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. The next time it dies this turn, recall it exhausted instead. (Send it to base. This isn't a move.)","Riftbound Spell: Highlander. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. The next time it dies this turn, recall it exhausted instead. (Send it to base. This isn't a move.)",
Hostile Takeover,SFD-202/221,https://riftdecks.com/cards/details-hostile-takeover,epic,mind,order,spell,renataglasc,,,,,signature,5,5,CC,5CC,,"[Hidden]  (Hide now for [A] to react with later for [0].) 
Take control of an enemy unit at a battlefield. Ready it.  (Start a combat if other enemies are there. Otherwise, conquer.) 
Lose control of that unit and recall it at end of turn.  (Send it to base. This isn't a move.) ","Riftbound Spell: Hostile Takeover. [Hidden] (Hide now for [A] to react with later for [0].)
Take control of an enemy unit at a battlefield. Ready it. (Start a combat if other enemies are there. Otherwise, conquer.)
Lose control of that unit and recall it at end of turn. (Send it to base. This isn't a move.)",
Icathian Rain,OGN-248/298,https://riftdecks.com/cards/details-icathian-rain,epic,fury,mind,spell,kaisa,,,,,signature,7,7,CCC,7CCC,,"Do this 6 times:
Deal 2 to a unit. (You can choose different units.)","Riftbound Spell: Icathian Rain. Do this 6 times:
Deal 2 to a unit. (You can choose different units.)",
Imperial Decree,OGN-221/298,https://riftdecks.com/cards/details-imperial-decree,uncommon,order,,spell,,,,,,,5,5,CC,5CC,,"[Action] (Play on your turn or in showdowns.)
When any unit takes damage this turn, kill it.","Riftbound Spell: Imperial Decree. [Action] (Play on your turn or in showdowns.)
When any unit takes damage this turn, kill it.",
Incinerate,OGS-003/024,https://riftdecks.com/cards/details-incinerate,common,fury,,spell,,,,,,,2,2,,2,,"[Action] (Play on your turn or in showdowns.)
Deal 2 to a unit at a battlefield.","Riftbound Spell: Incinerate. [Action] (Play on your turn or in showdowns.)
Deal 2 to a unit at a battlefield.",
Invert Timelines,OGN-201/298,https://riftdecks.com/cards/details-invert-timelines,epic,chaos,,spell,,,,,,,3,3,C,3C,,"Each player discards their hand, then draws 4.","Riftbound Spell: Invert Timelines. Each player discards their hand, then draws 4.",
King's Edict,OGN-237/298,https://riftdecks.com/cards/details-kings-edict,rare,order,,spell,,,,,,,6,6,CC,6CC,,"Starting with the next player, each other player chooses a unit you don't control that hasn't been chosen for this spell. Kill those units.","Riftbound Spell: King's Edict. Starting with the next player, each other player chooses a unit you don't control that hasn't been chosen for this spell. Kill those units.",
Last Breath,OGN-260/298,https://riftdecks.com/cards/details-last-breath,epic,calm,chaos,spell,yasuo,,,,,signature,3,3,CC,3CC,,"[Action] (Play on your turn or in showdowns.)
Ready a friendly unit. It deals damage equal to its Might to an enemy unit at a battlefield.","Riftbound Spell: Last Breath. [Action] (Play on your turn or in showdowns.)
Ready a friendly unit. It deals damage equal to its Might to an enemy unit at a battlefield.",
Last Stand,OGN-069/298,https://riftdecks.com/cards/details-last-stand,rare,calm,,spell,,,,,,,3,3,C,3C,,"[Action] (Play on your turn or in showdowns.)
Double a friendly unit's Might this turn. Give it [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)","Riftbound Spell: Last Stand. [Action] (Play on your turn or in showdowns.)
Double a friendly unit's Might this turn. Give it [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)",
Marching Orders,SFD-114/221,https://riftdecks.com/cards/details-marching-orders,rare,body,,spell,,,,,,,3,3,,3,,"[Action]  (Play on your turn or in showdowns.) 
[Repeat] [3]  (You may pay the additional cost to repeat this spell's effect.) 
Choose a friendly unit anywhere and an enemy unit at a battlefield. They deal damage equal to their Mights to each other.","Riftbound Spell: Marching Orders. [Action] (Play on your turn or in showdowns.)
[Repeat] [3] (You may pay the additional cost to repeat this spell's effect.)
Choose a friendly unit anywhere and an enemy unit at a battlefield. They deal damage equal to their Mights to each other.",
